product_id,nom_produit,prix_unitaire,quantite_vendue,chiffre_affaires,z_score
4064,Oratoire Saint Martin Cairanne Rouge Réserve des Seigneurs 2017,14.4,3.0,43.2,-0.6492520250764252
4144,Champagne Gosset Grand Rosé,49.0,7.0,343.0,0.5937597089948975
4673,Domaine Pellé Sancerre Rouge La Croix Au Garde 2017,19.8,0.0,0.0,-0.4552559740941955
5819,Maison Trimbach Riesling Cuvée Frédéric Emile 2008,56.0,1.0,56.0,0.845236071379269
4081,Le Vieux Donjon Châteauneuf-du-Pape 2016,39.0,4.0,156.0,0.2345077627315094
4603,Catherine et Claude Maréchal Ladoix Rouge Les Chaillots 2017,31.5,1.0,31.5,-0.0349311969660315
4893,Jacqueson Rully Rouge 1er Cru Les Cloux 2018,27.9,3.0,83.7,-0.1642618976208513
4043,Pierre Gaillard Côte Rôtie Esprit de Blonde 2017,60.0,3.0,180.0,0.9889368498846244
4272,Domaine Sérol Côte Roannaise Rosé Cabochard 2016,9.2,1.0,9.2,-0.8360630371333869
5696,Planeta Sicilia Etna Bianco 2018,17.5,0.0,0.0,-0.5378839217347748
5930,Borie La Vitarèle Languedoc Blanc Le Grand Mayol 2019,14.1,1.0,14.1,-0.6600295834643267
6073,Jacqueson Rully Rouge 1er Cru Les Preaux 2018,24.5,0.0,0.0,-0.2864075593504032
4876,Tempier Bandol Rosé 2019,22.8,22.0,501.6,-0.3474803902151791
4062,Mourgues du Grès IGP Pont du Gard Terre d'Argence 2018,11.9,3.0,35.7,-0.7390650116422721
4397,Wemyss Malts Blended Malt Scotch Whisky The Hive Batch Strength,59.0,0.0,0.0,0.9530116552582856
4161,Planeta Sicilia Plumbago 2017,11.6,0.0,0.0,-0.7498425700301737
4908,Alphonse Mellot Sancerre Blanc Edmond 2016,53.2,4.0,212.8,0.7446455264255205
4974,Château du Couvent Pomerol 2017,23.0,5.0,115.0,-0.3402953512899114
5959,Domaine Labranche Laffont Madiran Vieilles Vignes 2015,15.4,0.0,0.0,-0.6133268304500864
4076,Plateau des Chênes Lirac 2016,14.05,4.0,56.2,-0.6618258431956436
4085,Rimauresq Côtes de Provence Rouge Cru Classé 2017,19.0,7.0,133.0,-0.4839961297952666
5574,Domaine Huet Vouvray Le Mont Moelleux Première Trie 2008,59.6,0.0,0.0,0.9745667720340888
4393,Wemyss Malts Blended Malt Scotch Whisky Vanilla Burst,57.0,0.0,0.0,0.8811612660056078
4727,Paul Ginglinger Riesling Grand Cru Pfersigberg 2018,26.0,2.0,52.0,-0.232519767410895
4602,Catherine et Claude Maréchal Chorey-Lès-Beaune 2017,31.5,7.0,220.5,-0.0349311969660315
4926,Domaine La Croix Belle Côtes de Thongue Blanc Champ des Lys 2018,7.9,0.0,0.0,-0.8827657901476273
4739,Jean-Paul Brun Beaujolais Le Ronsay 2016,7.4,0.0,0.0,-0.9007283874607968
5375,David-Beaupère Juliénas Les Trois Verres 2018,15.2,1.0,15.2,-0.6205118693753541
5481,Domaine Bulliat Moulin-à-Vent 2017,11.5,0.0,0.0,-0.7534350894928077
4650,Thierry Germain Saumur Blanc L'Insolite 2018,25.3,5.0,126.5,-0.2576674036493321
5896,Thevenet Quintaine Viré-Clessé La Bongran 2015,24.7,0.0,0.0,-0.2792225204251354
4681,Domaine de Joy Côtes de Gascogne Blanc Moelleux Saint-André 2018,7.1,12.0,85.2,-0.9115059458486984
5443,La Rectorie Banyuls Léon Parcé 2016,23.6,5.0,118.0,-0.318740234514108
5564,Tempier Bandol Rouge 2017,30.8,3.0,92.4,-0.0600788332044687
5610,Domaine Weinbach Pinot Blanc 2017,18.0,0.0,0.0,-0.5199213244216054
6207,Domaine Giudicelli Patrimonio Rouge 2016,25.2,37.0,932.4,-0.261259923111966
6325,Tempier Bandol Blanc 2018,27.9,0.0,0.0,-0.1642618976208513
4052,Clos du Mont-Olivet Châteauneuf-du-Pape Blanc 2019,33.7,6.0,202.2,0.0441042312119138
4399,Wemyss Malts Blended Malt Scotch Whisky Spice King Batch Strength,59.0,1.0,59.0,0.9530116552582856
5024,Champagne Agrapart &amp; Fils Les 7 Crus Brut Blanc de Blancs,45.0,0.0,0.0,0.4500589304895422
6222,Planeta Sicilia Passito di Noto 2016,26.4,0.0,0.0,-0.2181496895603595
4141,Champagne Gosset Grande Réserve,39.0,40.0,1560.0,0.2345077627315094
4902,Domaine Des Croix Savigny-Lès-Beaune 1er Cru Les Peuillets 2015,46.0,0.0,0.0,0.485984125115881
4937,Domaine Rouge Garance Côtes du Rhône Feuille de Garance 2019,9.9,4.0,39.6,-0.8109154008949497
4262,Chermette Domaine du Vissoux Brouilly Pierreux 2018,15.8,3.0,47.4,-0.5989567525995507
4281,Château de Cazeneuve Val de Montferrand Rouge Caza Sorix 2019,11.6,0.0,0.0,-0.7498425700301737
5956,Clos du Prieur Terrasses du Larzac 2018,17.2,0.0,0.0,-0.5486614801226765
4182,Borie La Vitarèle Saint-Chinian Les Schistes 2017,16.7,3.0,50.1,-0.5666240774358459
4221,Xavier Frissant Touraine Les Roses du Clos 2018,12.8,15.0,192.0,-0.7067323364785671
4703,Albert Mann Crémant d'Alsace Extra Brut 2017,19.8,7.0,138.6,-0.4552559740941955
4716,Domaine Schoenheitz Pinot Gris Herrenreben 2017,18.6,0.0,0.0,-0.4983662076458021
4780,Maurice Schoech Crémant d'Alsace Brut Rosé Bulles de Granite,13.7,1.0,13.7,-0.6743996613148623
5964,Domaine de l'Ancienne Cure Pécharmant L'Abbaye 2015,16.3,3.0,48.9,-0.5809941552863813
4147,Champagne Mailly Grand Cru Extra Brut Millésimé 2012,33.0,3.0,99.0,0.0189565949734766
4277,I Fabbri Chianti Classico Riserva 2015,24.8,3.0,74.4,-0.2756300009625015
4348,Champagne Egly-Ouriet Grand Cru Brut Tradition,59.0,0.0,0.0,0.9530116552582856
5893,Gilbert Picq Chablis 1er Cru Vaucoupin 2016,26.6,5.0,133.0,-0.2109646506350916
4042,Pierre Gaillard Cornas 2017,31.2,7.0,218.4,-0.0457087553539332
4704,Albert Mann Gewurztraminer 2017,18.2,3.0,54.6,-0.5127362854963377
